Fluid,280,285,290,295,300,305,310,315,320,325,330,335,340
S2.01,549.125,553.2307692307693,567.7692307692307,589.4285714285714,591.8666666666667,619.9333333333333,649.0833333333334,677.1666666666666,723.0,778.2,857.1666666666666,979.6666666666666,1247.2727272727273
S2.05,1260.4615384615386,1326.8461538461538,1328.0833333333333,1386.2,1439.0833333333333,1519.0,1628.090909090909,1726.8181818181818,1908.1666666666667,2073.0,2349.2727272727275,2639.5454545454545,3240.4166666666665
S2.06,1552.7142857142858,1609.4166666666667,1539.4,1619.5833333333333,1702.2,1779.1666666666667,1900.6363636363637,2018.5,2190.6428571428573,2368.3846153846152,NA,2981.3636363636365,3516.5
S2.07,1822.642857142857,1933.923076923077,2020.5833333333333,2143.3846153846152,2118.3333333333335,2239.8333333333335,2386.6666666666665,2503.8333333333335,2685.181818181818,3127.181818181818,3544.818181818182,4159.9,4803.818181818182
S2.09,2261.75,2410.2727272727275,2498.5,2546.5,2653.076923076923,2818.75,2943.153846153846,3090.1666666666665,3332.75,3615.6666666666665,3982.6153846153848,4602.545454545455,5295.833333333333
S3.01,480.7,597.2307692307693,1016.2142857142857,1048.5,1085.0833333333333,1119.0833333333333,589.0,643.1818181818181,682.3333333333334,715.6428571428571,858.0,886.6666666666666,1067.25
S3.03,1357.5833333333333,1473.6363636363637,1526.090909090909,1598.357142857143,1674.5,1786.3333333333333,1955.5,2083.5833333333335,2294.7272727272725,2869.4545454545455,3122.75,3525.6363636363635,3836.3636363636365
S3.04,1486.4615384615386,1598.7142857142858,1674.642857142857,1827.3076923076924,1981.75,2145.266666666667,2278.3,2484.0,2864.6923076923076,3001.0555555555557,3503.1666666666665,4071.2727272727275,3887.7272727272725
S3.05,3471.5384615384614,3537.2,3484.2727272727275,3628.6666666666665,3818.3333333333335,4084.5,4251.090909090909,4476.0,4841.181818181818,5321.7,5952.272727272727,6822.909090909091,7737.818181818182
S3.06,4195.461538461538,4414.583333333333,4623.2307692307695,4942.833333333333,5089.909090909091,5250.083333333333,5937.818181818182,6325.615384615385,7008.7,7797.333333333333,8788.181818181818,9578.416666666666,9604.545454545454
S3.07,4595.25,4674.090909090909,4829.909090909091,5057.333333333333,5453.727272727273,5884.7,6143.727272727273,6577.9,7194.181818181818,7464.3,7965.5,8890.727272727272,9679.833333333334
S50per,608.2,601.6363636363636,634.8,624.3,635.6923076923077,658.6363636363636,681.2,719.4545454545455,753.5833333333334,815.6666666666666,892.0833333333334,996.3,1172.909090909091
S60per,824.6363636363636,848.2727272727273,805.8333333333334,839.25,867.8181818181819,898.5454545454545,953.3076923076923,999.6363636363636,1085.5454545454545,1308.8,1559.1818181818182,1791.8333333333333,2112.5
S80per,2271.076923076923,2472.1666666666665,2531.7272727272725,2620.8333333333335,2742.0714285714284,2841.6363636363635,2969.25,3187.0,3416.909090909091,3719.0,4092.0,4707.1,5408.333333333333
S90per,4634.090909090909,4955.7,4716.388888888889,5033.846153846154,5067.5,5389.727272727273,5560.5,5818.4,6159.454545454545,6613.363636363636,7241.7692307692305,15204.0,8407.454545454546
SDS10,434.7647058823529,439.6666666666667,456.2,463.38461538461536,480.7692307692308,498.64285714285717,520.9230769230769,547.1666666666666,586.9166666666666,632.3076923076923,703.25,780.5833333333334,960.2
SDS1,421.6666666666667,429.1818181818182,445.26666666666665,466.0,484.57142857142856,498.2307692307692,515.75,547.1538461538462,585.3076923076923,640.1428571428571,719.0,806.5833333333334,1000.9166666666666
SDS99,539.75,525.4615384615385,547.0714285714286,545.7692307692307,571.0,582.2307692307693,644.0769230769231,712.8888888888889,762.6666666666666,936.5454545454545,1084.4285714285713,1269.6153846153845,1527.0
WD,397.5833333333333,411.0,417.3636363636364,433.38461538461536,443.1666666666667,462.8333333333333,484.25,515.0,550.4166666666666,606.4545454545455,644.6363636363636,738.4545454545455,890.3
WnD,439.5625,441.0,454.0,474.53846153846155,501.9230769230769,540.0769230769231,485.90909090909093,515.6923076923077,557.3636363636364,603.3076923076923,679.1538461538462,816.5454545454545,1225.25
